id,uuid,name,code,description,active,area_id,area_code
1,d6f687c5-bef2-420c-9999-963f9d7bf421,Delivery post,DP01,Delivery post,1,1,1000
2,4beb7c43-c4e2-453e-b6be-7ed41772e244,Transformer Post ,TP01,Transformer Post ,1,1,1000
3,13169966-cc0c-497c-91f8-4f86147b3306,Transformer Post ,TP01,Transformer Post ,1,1,1004
4,77f28c5c-282b-45c5-b796-f719cb4e4d28,Low Voltage switchgear MCC,YC31,Low Voltage switchgear MCC,1,1,1006
5,582cee14-0b1d-4f6e-ad38-d752f9600db3,Auxiliary switchgear,YC32,Auxiliary switchgear,1,1,1006
6,6776a2b0-2120-458f-bcd3-86ba48def655,Low Voltage Dist. 690V,YC21,Low Voltage Dist. 690V,1,1,1006
7,0740c523-6c06-4779-9cd2-a415c5c152fe,Compensation 400VAC,YC33,Compensation 400VAC,1,1,1006
8,b793012c-caba-454f-8431-49c47a215c8d,Frequency converter 690V 400kW,YC41,Frequency converter 690V 400kW,1,1,1601
9,1a6edd3a-06fe-495a-b8d7-c03fcfabc29e,Illumination cabinet,YC43,Illumination cabinet,1,1,1601
10,27cf5036-3926-4368-9d64-d46c9f4df8b4,Air conditions units,YC45,Air conditions units,1,1,1601
11,604d5a22-d51e-4132-a45a-befa0e67f256,IO,YC61,IO,1,1,1601
12,6affaabb-25e4-40c7-9829-39456dced83b,PLC,YC81,PLC,1,1,1601
13,8fdff819-e9ac-4dac-9111-d4b4d1ca32aa,UPS 230VAC,YU01,UPS 230VAC,1,1,1601
14,5713c342-0794-461f-8474-5d82cb63a454,Clinker Area 1,KK01,Clinker Area 1,1,2,RW01
15,12d68c86-50e1-4505-9bb0-9d71a7b3efab,Clinker Area 2,KK02,Clinker Area 2,1,2,RW01
16,1d8e53ad-847e-40c8-9d07-97436e6b6168,Clinker Area 3,KK03,Clinker Area 3,1,2,RW01
17,4f92a0f8-9b08-4274-bc85-2f01f3c8f361,Limestone Area 1,LI01,Limestone Area 1,1,2,RW01
18,ce87c722-0f0e-4d7b-9702-9a1df8da0c27,Gypsum Area,GY01,Gypsum Area,1,2,RW01
19,0cd65e5d-e5e5-4dcb-a20c-a2582ecd021a,Limestone Area 2,LI02,Limestone Area 2,1,2,RW01
20,d3038662-580f-4ad5-bd7b-00c8691ccbb3,Clinker Hopper,FB01,Clinker Hopper,1,3,1621
21,6bc430fd-ba8e-4353-94af-3817fbfc2ab4,Gypsum Hopper ,FB02,Gypsum Hopper ,1,3,1621
22,0bbf0519-9c90-46fb-9515-23d068e605ba,Limestone Hopper ,FB03,Limestone Hopper ,1,3,1621
23,a74d7835-9b42-4913-8ee8-37285708ec62,Dosing Belt Feeder Clinker,WF01,Dosing Belt Feeder Clinker,1,3,1621
24,2b26e53c-77b3-42fe-89b9-0482e706c05a,Dosing Belt Feeder Gypsum,WF02,Dosing Belt Feeder Gypsum,1,3,1621
25,e9584a29-cb10-4da8-9e07-176cec60bb18,Dosing Belt Feeder Limestone,WF03,Dosing Belt Feeder Limestone,1,3,1621
26,0016fcef-dbae-4cb3-9b1f-6e0762583ea9,Dedusting Filter,DE01,Dedusting Filter,1,3,1621
27,76712a0c-1870-4a71-922a-ae194821c9af,Dedusting Filter,DE02,Dedusting Filter,1,3,1621
28,de4e5ae9-ebd3-49e4-bcab-13b0ed117e35,Dedusting Filter,DE03,Dedusting Filter,1,3,1621
29,3925165b-64da-46df-9a00-7af13724d0d9,Belt Conveyor,BC01,Belt Conveyor,1,3,1621
30,ad7d39d8-078d-4248-9f06-c4ff6fbb75a4,Magnetic Separator,MS01,Magnetic Separator,1,3,1621
31,182f2e2a-cc12-49c3-9f1d-198e73025a5e,Metal Detector,MT01,Metal Detector,1,3,1621
32,26217226-4c1b-45ce-aded-3b926f931cda,Belt Conveyor,BC02,Belt Conveyor,1,3,1621
33,c12407be-9ec9-4c0c-91c6-33261cbeece8,Cover Belt,BC03,Cover Belt,1,3,1621
34,c1d64284-287e-4a45-9f60-18ecb81b7c46,Belt Scale,BS01,Belt Scale,1,3,1621
35,03857fbf-6e99-42d2-91cd-cffa2d68433d,Diverter Gate,DG01,Diverter Gate,1,3,1621
36,e2a41757-00d4-411c-81b1-1676bce72985,Shut-Off Gate,SG01,Shut-Off Gate,1,3,1621
37,4639324a-5984-4fd2-9c19-83208b5cb456,Shut-Off Gate,SG02,Shut-Off Gate,1,3,1621
38,482e34eb-2b3b-4255-85cb-0ed2eacfc220,Shut-Off Gate,SG03,Shut-Off Gate,1,3,1621
