id,name,uuid,code,complementary_code,active,area_code,equipment_code
1,Neutral cell,3072cf27-0aa0-44c7-bc0b-f3440a2951e3,N01,,1,1000,DP01
2,R protection cell,0afb36d7-34cd-44d9-a704-2cda307e543e,R01,,1,1000,DP01
3,Start cell (to transformer 400V / 100 Kva ),6862aeac-ffff-4241-8dec-6538ec0e6ddb,T01,,1,1000,DP01
4,Start cell (to transformer 700V / 2500 Kva ),d5a9094c-8777-4a6a-ad37-7ff8b48b4585,C01,,1,1000,DP01
5,Transformer 400V/100Kva,671a62ae-c0be-4c21-a0ad-af682a16428e,TR01,,1,1000,DP01
6,Removable circuit breaker (400V Transformer output),1cfc0b75-26f9-48eb-a11f-0d02680d6c58,DI01,,1,1000,DP01
7,Transformer 22000/690V,a2414f4d-435c-490b-b788-2f3d8b39d65a,YT01,,1,1000,TP01
8,Protection Cell,2247925d-58f7-4f0f-ba7a-0c3166d67028,R01,,1,1000,TP01
9,Transformer 690/400V,5969693d-7c79-43af-a37c-31e4114cff0c,YT01,,1,1004,PT01
10,Incoming,e298f807-28b7-4e77-b1b8-148f2765d46b,A01,,1,1006,YC31
11,"Drivers, Actuators, Power suppliers",4b31d81e-906b-4ce0-88b2-082c539c8013,A02,,1,1006,YC31
12,"Drivers, Actuators, Power suppliers",91956de0-7c7e-46c6-b08b-ffa33d00aa14,A03,,1,1006,YC31
13,"Drivers, Actuators, Power suppliers",9f3f0d8f-a49b-41c0-ba1b-4ae8cf9b1f19,A04,,1,1006,YC31
14,"Drivers, Actuators, Power suppliers",64af2379-df91-4bbf-b0f7-0071d46060d2,A05,,1,1006,YC31
15,"Drivers, Actuators, Power suppliers",9d43ea9a-f5b9-456e-83c8-6c4b422efa0e,A06,,1,1006,YC31
16,Protection Transformer 690/400V,feba42ee-2f22-4489-afca-f90de4c45593,NE01,,1,1006,YC21
17,Freq. Converter Input,c6dee228-347c-417c-9f63-1fd90b43a532,NE02,,1,1006,YC21
18,Incomer,c95ef5b1-c914-402b-85c6-44ff806109da,NE03,,1,1006,YC21
