id,name,uuid,code,complementary_code,stock,active
1,Carte alimentation SIEMENS,acdebdca-b900-4b9b-89d6-28df77f94cd3,6ES7 407-0KA02-0AA0,,0,1
2,Carte CPU SIEMENS,e4d32d26-48de-4678-b3a8-332c3791f8f0,6ES7 414-3EM07-0AB0,,0,1
3,Carte Communication SIEMENS,60c4c37e-2d94-4c2d-a18e-2c22838fd59c,6GK7 443-1EX30-0XE0,,0,1
4,Carte d'entrée TOR SIEMENS,799ee789-a9a4-4298-8c90-f1a8dd680dd3,6ES7 421-1BL01-0AA0,,0,1
5,Carte d'entrée digital SIEMENS,03399cc2-2597-47bd-a771-93010a120eb3,6ES7 321-1BH02-0AA0,,0,1
6,Carte sortie analogique SIEMENS,e7276e47-4d42-4eb3-8c00-fde150a7e0f1,6ES7 332-7ND02-0AB0,,0,1
7,Carte d'entrée analogique SIEMENS,3e0a3aff-a2b6-496b-b843-381a1fa63534,6ES7 331-7NF00-0AB0,,0,1
8,Carte de sortie digital SIEMENS,b6921480-7872-488d-969e-3becb3c19e28,6ES7 322-1BH01-0AA0,,0,1
9,Carte coupleur ET200M SIEMENS,ef0224ec-a45d-4d65-86f3-7966c5b73b7d,6ES7 153-1AA03-0XB0,,0,1
10,Cofferet de prise triphase 40A 400x300x15 IP55 3P N T.2P N T,625ccee0-2bba-4ce5-be1b-d8c6b9353c6d,CPX32150,,0,1
11,Cofferet Mural equipe d'une protection domestique 16A DISJ 6 INTERR DIFF,081af8ac-053c-4705-b2b0-4077e36a9cc0,CPX65250,,0,1
12,SIMATIC DP  module électronique ET 200S : relais 2 sorties TOR ( contact inverseur) 24V-48V CC/5A  24V-230V CA/5A,40d7763a-a93f-4b77-a464-3f45575cd8ac,6ES7132-4HB50-0AB0,,0,1
13,SIMATIC DP  module électronique ET 200S : 2 sorties analogiques l 15mm  /-20mA  13 bits signe 4..20mA,381c0767-69da-4d5a-875a-675dd39da556,6ES7135-4GB01-0AB0,,0,1
14,SIMATIC DP  Power Module PM-E pour ET 200S  24V CC,cc321e19-9c09-459d-965d-fc395b07d079,6ES7138-4CA01-0AA0,,0,1
15,SIMATIC DP  5 module électronique ET 200S : 2 entrées TOR standard  24V CC  15mm,e244cede-ae29-4bb6-bc81-5f2970e57221,6ES7131-4BB01-0AA0,,0,1
16,SIMATIC DP   Module  interface IM 151-1 standard  pour ET 200S ,43bfc0a1-d724-467f-9027-3b11c9e33842,6ES7151-1AA01-0AB0,,0,1
17,SIMATIC DP5 module électronique pour ET 200S 4 entrées TOR High feature 24V CC ,8b7390e1-09cd-4fcf-a0c7-bfddac7a7c36,6ES7131-4BD01-0AB0,,0,1
22,unité d'évaluation pour protection totale du moteur (monostable) Taille S00  S12 CLASS 5..30 Installation séparée ,6d943c59-f700-4b87-abe9-eb2182e454f3,3RB2283-4AC1,,0,1
23,Relais temporisé  multifonction 1 contact inverseur  13 fonctions 7plages de temps (005s  100 h) 12  240V CA/CC pour 50/60 HZ,f36d1643-18ed-4792-819c-5d16c89c9758,3RP2505-1AW30,,0,1
24,Débitmètre électromagnétique ,b03a2b13-c436-491d-bd58-41b3c648e9a7,5W4C25-AAALHA0AUD5K0A AC,,0,1
25,Sonde de température ,b6f664ce-8833-41ef-b572-cb43b1fd8214,TR10-ABD1BHTXCB000,,0,1
